2022-09-08 15:23:05  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:07  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:09  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:12  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:14  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:16  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:23  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:25  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:27  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:29  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:22:59, started = 33.370000, vol = 416672
2022-09-08 15:23:32  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:34  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:36  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:38  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:40  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:43  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:45  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:47  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:49  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:51  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:55  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:57  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:23:59  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:29, started = 33.370000, vol = 416672
2022-09-08 15:24:01  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:03  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:05  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:07  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:10  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:12  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:14  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:16  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:18  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
2022-09-08 15:24:20  tick.py:line:40 [INFO]: code = sh600036, price = 33.300000, trade_time = 2022-09-08 15:23:59, started = 33.370000, vol = 416672
